COUNTRY,COUNTRY ABBREV,CCODE,YEAR,ISOCODE,TOTGEN,UEGEN,SKGEN,PGEN,APWWage,US100,UC1000,SS100,SC1000,MPS100,MPC1000,SPS100,SPC1000,UEQUAL,UEDUR,UEWAIT,UECOV,SICKQUAL,SICKDUR,SICKWAIT,SICKCOV,PQUAL,PFUND,AVGPER,PENCOV,MRET,FRET,LEXP65
"Finland",FIN,6,2010,246,34.1,9.2,12.1,12.8,36468,0.565,0.651,0.714,0.739,0.27,0.436,0.683,0.84,34,100,7,0.74,0,50,10,1,40,0.21,45,1,65,65,19.5
"Finland",FIN,6,2011,246, ,9.4,12.1,,36969,0.563,0.649,0.715,0.74,0.268,0.434,0.697,0.852,34,100,7,0.753,0,50,10,1,40,,45,1,65,65,19.5
"France",FRA,7,2008,250,37.9,11.3,12.3,14.4,25378,0.707,0.696,0.638,0.623,0.405,0.633,0.552,0.6,69,100,7,0.87,52,156,3,,40,0.4,25,1,60,60,20.5
"France",FRA,7,2009,250,37.9,11.1,12.3,14.6,25520,0.708,0.694,0.637,0.623,0.429,0.665,0.549,0.596,104,104,7,0.87,52,156,3,,40.25,0.4,25,1,60,60,20.575
"France",FRA,7,2010,250,38,11.1,12.3,14.6,25826,0.708,0.697,0.637,0.623,0.445,0.66,0.556,0.583,104,104,7,,52,156,3,,40.5,0.4,25,1,60,60,20.67
"France",FRA,7,2011,250,,11.1,12.3,,,0.706,0.696,0.638,0.623,,,,,104,104,7,,52,156,3,,40.75,0.4,25,,61,61,
"Germany",DEU,8,2008,276,32.2,10.3,13.2,8.8,37041,0.6,0.711,0.896,0.894,0.19,0.256,0.658,0.493,104,52,0,0.78,0,78,0,0.82,45,0.5,45,,65,65,19.1
"Germany",DEU,8,2009,276,32.3,10.3,13.2,8.8,36772,0.6,0.713,0.896,0.895,0.193,0.259,0.66,0.491,104,52,0,0.78,0,78,0,0.82,45,0.5,45,,65,65,19.2
"Germany",DEU,8,2010,276,32,10,13.3,8.7,37354,0.6,0.717,0.879,0.899,0.185,0.25,0.635,0.476,104,52,0,0.76,0,78,0,0.83,45,0.5,45,,65,65,19.35
"Germany",DEU,8,2011,276,,10,13.3,,,0.6,0.715,0.877,0.898,0.178,0.242,0.613,0.463,104,52,0,,0,78,0,,45,0.5,45,,,,
"Ireland",IRL,9,2008,372,36.2,10.9,12.1,13.2,31768,0.38,0.704,0.354,0.656,0.446,0.571,0.454,0.665,260,52,3,1.07,260,999,3,1.07,27,0.28,0,1.14,65,65,18.55
"Ireland",IRL,9,2009,372,35,11.1,10.5,13.4,31038,0.392,0.724,0.37,0.684,0.447,0.572,0.469,0.686,260,52,3,1.02,260,104,3,1.02,28,,0,1.15,65,65,18.9
"Ireland",IRL,9,2010,372,35.3,11.1,10.6,13.6,31524,0.394,0.736,0.363,0.713,0.466,0.598,0.489,0.717,260,52,3,1.02,260,104,3,,29,0.34,0,1.16,65,65,19.6
"Ireland",IRL,9,2011,372,,10.9,10.3,,32012,0.37,0.705,0.368,0.617,0.46,0.602,0.483,0.722,260,52,3,,260,104,3,,30,,0,,65,65,
"Italy",ITA,10,2008,380,30,5.8,9.8,14.5,26354,0.574,0.692,0.768,0.874,0.297,0.51,0.867,0.825,104,35,0,,0,26,3,0.7,40,0.27,5,,65,60,20.1
"Italy",ITA,10,2009,380,29.9,5.8,9.6,14.6,27013,0.562,0.679,0.767,0.871,0.3,0.515,0.875,0.833,104,35,0,,0,26,3,0.69,40,0.27,5,0.85,65,60,20.2
"Italy",ITA,10,2010,380,29.6,5.7,9.6,14.3,28711,0.55,0.669,0.766,0.865,0.287,0.499,0.84,0.803,104,35,0,,0,26,3,0.69,40,0.27,5,,65,60,20.3
"Italy",ITA,10,2011,380,,4.9,9.5,,29531,0.556,0.67,0.748,0.84,0.282,0.495,0.838,0.797,104,34,8,,0,26,3,,40,0.27,5,,65,60,
"Japan",JPN,11,2008,392,25.5,5.4,7.7,12.5,4268180,0.569,0.526,0.684,0.633,0.224,0.415,0.512,0.741,1040,21,7,0.63,0,26,3,,40,0.54,40,,60,60,21.1
"Japan",JPN,11,2009,392,26,5.5,7.7,12.9,4093808,0.587,0.542,0.681,0.629,0.233,0.43,0.529,0.766,1040,21,7,,0,26,3,,40,0.5,40,,60,60,21.45
"Japan",JPN,11,2010,392,25.7,5.3,7.6,12.7,4089629,0.577,0.506,0.685,0.601,0.234,0.411,0.533,0.733,1040,21,7,,0,26,3,,40,0.5,40,,60,60,21.4
"Japan",JPN,11,2011,392,,,,,,0.617,0.543,0.686,0.604,0.237,0.418,0.541,0.746,,,,,,,,,,,,,,,
"Netherlands",NLD,12,2008,528,37.9,11.8,13.7,12.4,37322,0.791,0.78,0.868,0.78,0.488,0.578,0.488,0.578,1040,90,0,0.87,0,104,0,0.87,0,1,0,1.1,65,65,18.9
"Netherlands",NLD,12,2009,528,38.5,11.9,13.8,12.8,37931,0.832,0.818,0.859,0.818,0.523,0.584,0.523,0.584,1040,90,0,0.86,0,104,0,0.87,0,1,0,1.11,65,65,19.1
"Netherlands",NLD,12,2010,528,38.6,11.9,13.8,12.9,38771,0.83,0.817,0.859,0.817,0.518,0.581,0.518,0.581,1040,90,0,0.86,0,104,0,,0,1,0,,65,65,19.55
"Netherlands",NLD,12,2011,528,,11.7,13.6,,39362,0.804,0.783,0.824,0.783,0.482,0.593,0.482,0.593,1040,90,0,,0,104,0,,0,1,0,,65,65,
"New Zealand",NZL,13,2008,554,21.4,7.2,6.4,7.8,49420,0.255,0.528,0.255,0.528,0.396,0.51,0.384,0.502,0,999,7,1,0,999,7,1,0,0,0,0.99,65,65,19.55
"New Zealand",NZL,13,2009,554,21.5,7.1,6.3,8,48239,0.245,0.508,0.245,0.508,0.4,0.524,0.412,0.533,0,999,7,1,0,999,7,1,0,0,0,1,65,65,19.85
"New Zealand",NZL,13,2010,554,21.4,7.1,6.3,8,50471,0.245,0.506,0.245,0.506,0.402,0.527,0.398,0.524,0,999,7,1,0,999,7,1,0,0,0,1,65,65,20
"New Zealand",NZL,13,2011,554,,7.1,6.3,,52299,0.243,0.501,0.243,0.501,0.41,0.543,0.406,0.54,0,999,7,1,0,999,7,1,0,0,0,1,65,65,
"Norway",NOR,14,2008,578,43.1,14.2,15.9,13,382929,0.664,0.72,1,1,0.471,0.773,0.627,0.697,4,104,3,0.92,4,52,0,1,40,0.36,40,1.04,67,67,19.3
"Norway",NOR,14,2009,578,43.4,14.2,15.9,13.3,383109,0.666,0.722,1,1,0.492,0.762,0.656,0.729,4,104,3,0.92,4,52,0,1,40,0.36,40,1.03,67,67,19.55
"Norway",NOR,14,2010,578,43.9,14.2,15.9,13.8,395135,0.668,0.723,1,1,0.526,0.816,0.679,0.753,4,104,3,0.92,4,52,0,1,40,0.36,40,1.03,67,67,19.6
"Norway",NOR,14,2011,578,,13.9,15.9,,407796,0.665,0.717,1,1,0.513,0.858,0.684,0.763,4,104,3,0.9,4,52,0,1,40,0.36,40,1.03,67,67,
"Sweden",SWE,15,2008,752,36.2,8.6,15.2,12.3,289696,0.641,0.681,0.795,0.817,0.322,0.508,0.543,0.734,52,60,5,0.68,0,999,1,0.89,30,0.41,30,,65,65,19.35
"Sweden",SWE,15,2009,752,35.5,8.2,14.9,12.4,297768,0.618,0.658,0.794,0.816,0.322,0.511,0.545,0.741,52,60,7,0.68,0,999,1,0.87,30,0.41,30,,65,65,19.6
"Sweden",SWE,15,2010,752,35.2,8.2,14.9,12.1,302631,0.617,0.656,0.794,0.815,0.311,0.463,0.53,0.722,52,60,7,0.68,0,999,1,0.87,30,0.41,30,,65,65,19.65
"Sweden",SWE,15,2011,752,,8.1,14.9,,308572,0.603,0.644,0.794,0.815,0.308,0.459,0.527,0.718,52,60,7,,0,999,1,,30,0.41,30,,65,65,
"Switzerland",CHE,16,2008,756,37.1,13.8,13,10.4,67926,0.725,0.834,1,1,0.337,0.423,0.403,0.586,52,80,5,0.98,1040,26,0,1,45,0.5,,1,65,64,20.6
"Switzerland",CHE,16,2009,756,36.8,13.8,13,10,75376,0.726,0.832,1,1,0.316,0.405,0.372,0.541,52,80,5,0.98,1040,26,0,1,45,0.5,,1,65,64,20.6
"Switzerland",CHE,16,2010,756,37.1,13.9,13,10.2,76130,0.726,0.853,1,1,0.322,0.412,0.386,0.56,52,80,5,,1040,26,0,1,45,0.5,,1,65,64,20.75
"Switzerland",CHE,16,2011,756,,,,,,,,1,1,,,,,52,80,5,,1040,26,0,1,45,,,1,65,64,
"United Kingdom",GBR,17,2008,826,28.2,8.7,8.5,10.9,24157,0.166,0.424,0.204,0.243,0.335,0.425,0.57,0.574,11,26,3,0.88,6,52,3,0.88,45,0.5,45,1.09,65,60,19
"United Kingdom",GBR,17,2009,826,28.2,8.7,8.3,11.2,24393,0.168,0.43,0.209,0.245,0.344,0.428,0.591,0.582,12,26,3,0.84,6,52,3,0.8439741,45,0.5,45,,65,60,19.45
"United Kingdom",GBR,17,2010,826,27.5,8.3,8,11.3,25322,0.172,0.435,0.214,0.251,0.347,0.438,0.581,0.58,12,26,3,0.84,6,52,3,0.84,45,0.5,45,,65,60,19.6
"United Kingdom",GBR,17,2011,826,,8.3,8,,24784,0.177,0.448,0.221,0.249,0.372,0.452,0.589,0.566,12,26,3,,,,,,45,,45,,,,
"United States",USA,18,2008,840,21.3,10.2,0,11.1,40257,0.582,0.597,0,0,0.316,0.419,0.617,0.783,20,26,7,0.89,,,,,35,0.5,35,0,65.4,65.4,18.65
"United States",USA,18,2009,840,22,10.8,0,11.2,42195,0.587,0.585,0,0,0.326,0.432,0.608,0.768,20,99,7,0.86,,,,,35,0.5,35,0.95,65.6,65.6,19
"United States",USA,18,2010,840,21.7,10.7,0,11,43443,0.587,0.589,0,0,0.317,0.425,0.591,0.754,20,99,7,0.85,,,,,35,0.5,35,,65.8,65.8,19
"United States",USA,18,2011,840,,10.6,0,,44500,0.567,0.584,0,0,0.306,0.412,0.577,0.74,20,99,7,,,,,,35,0.5,35,,,,
"Greece",GRC,19,2008,300,29.6,7.4,7.3,14.9,15136.23,0.484,0.633,0.655,0.66,0.444,0.4,,,42,52,6,0.64,250,104,3,0.64,45,0.33,5,,65,60,18.8
"Greece",GRC,19,2009,300,29.6,7.3,7.3,14.9,16804.84,0.495,0.647,0.67,0.674,0.43,0.388,,,42,52,6,0.63,250,104,3,0.63,45,0.33,5,,65,60,19.15
"Greece",GRC,19,2010,300,29.2,7.3,7.3,14.5,18541.42,0.497,0.648,0.673,0.675,0.391,0.352,,,42,52,6,0.63,250,104,3,0.63,45,0.33,5,,65,61,19.45
"Greece",GRC,19,2011,300,,7.4,7.3,,,0.506,0.658,0.678,0.685,0.444,0.398,,,42,52,6,,250,104,3,,45,0.33,5,,65,62,
"Spain",ESP,20,2008,724,34.8,11.3,9.8,13.7,21452,0.767,0.742,0.77,0.767,0.262,0.269,0.923,0.93,52,104,0,0.75,26,78,3,0.75,35,0.17,15,0.7,65,65,20.1
"Spain",ESP,20,2009,724,35.4,11.7,10,13.7,22523,0.774,0.749,0.77,0.774,0.258,0.264,0.917,0.923,52,104,0,0.77,26,78,3,0.77,35,0.17,15,0.7,65,65,20.35
"Spain",ESP,20,2010,724,35.6,11.7,10,13.9,23047,0.8,0.768,0.765,0.793,0.261,0.267,0.939,0.942,52,104,0,0.76,26,78,3,0.76,35,0.17,,0.68,65,65,20.65
"Spain",ESP,20,2011,724,,11.4,10,,23521,0.802,0.771,0.765,0.792,0.262,0.268,0.935,0.937,52,104,0,0.74,26,78,3,,35,0.17,,,65,65,
"Portugal",PRT,21,2008,620,31.7,10.7,9.6,11.4,10849,0.775,0.77,0.805,0.795,0.288,0.349,0.752,0.645,65,121,0,0.7,26,156,3,0.7,40,0.3,40,0.69,65,65,18.6
"Portugal",PRT,21,2009,620,35.2,10.7,9.6,14.8,11134,0.775,0.772,0.805,0.797,0.534,0.909,0.763,0.651,65,121,0,0.7,26,156,3,0.7,40,0.3,40,0.69,65,65,18.8
"Portugal",PRT,21,2010,620,35.1,10.6,9.5,15,11279,0.776,0.771,0.806,0.797,0.533,0.906,0.786,0.67,52,121,0,0.69,26,156,3,0.69,40,0.3,40,0.7,65,65,18.85
"Portugal",PRT,21,2011,620,,10.5,9.5,,,0.774,0.769,0.804,0.795,0.55,0.935,0.818,0.713,65,121,0,,26,156,3,,40,0.3,40,,65,65,
"Korea",KOR,22,2008,410,14,3.9,0,10.1,32700000,0.507,0.335,0,0,0.035,0.054,0.202,0.204,26,30,7,0.397,0,,,0,20,0.33,20,0.41,60,60,18.8
"Korea",KOR,22,2009,410,14.3,4.1,0,10.2,32500000,0.505,0.354,0,0,0.037,0.057,0.214,0.215,26,30,7,0.412,0,,,0,21,0.33,20,0.44,60,60,19.3
"Korea",KOR,22,2010,410,14.5,4.2,0,10.3,33400000,0.493,0.355,0,0,0.036,0.057,0.219,0.22,26,30,7,0.426,0,,,0,21,0.33,20,0.45,60,60,19.4
"Korea",KOR,22,2011,410,,4.3,0,,35000000,0.474,0.358,0,0,0.036,0.055,0.22,0.221,26,30,7,0.443,0,,,0,21,0.33,20,,60,60,
"Taiwan",TWN,23,2008,158,,5.4,10.3,,533088,0.649,0.649,0.544,0.544,,,,,52,26,14,0.52,0,52,3,0.81,30,0.2,,,60,55,
"Taiwan",TWN,23,2009,158,,5.2,10.1,,506112,0.649,0.649,0.544,0.544,0.078,0.155,0.251,0.251,52,26,14,0.54,0,52,3,0.827,30,0.2,,,60,60,
"Taiwan",TWN,23,2010,158,,5.4,10.3,,533160,0.651,0.651,0.527,0.527,0.074,0.148,0.24,0.24,52,26,14,0.56,0,52,3,0.849,30,0.2,,,60,60,
"Taiwan",TWN,23,2011,158,,5.6,10.5,,517956,0.633,0.633,0.528,0.528,0.073,0.147,0.239,0.239,52,26,14,0.57,0,52,3,0.868,30,0.2,,,60,60,
"Bulgaria",BGR,24,2008,100,,,,,5944.9,0.522751502,0.522751502,0.5,0.5,0.265142426,0.530284853,,,39,48,0,0.800752724,26,13,0,0.800752724,,,,,,,
"Bulgaria",BGR,24,2009,100,,,,,6733.2,0.830789184,0.830789184,0.5,0.5,0.284152662,0.568305324,,,39,48,0,0.810516669,26,13,0,0.810516669,,,,,,,
"Bulgaria",BGR,24,2010,100,,,,,7248.3,0.763847332,0.763847332,0.5,0.5,0.284779027,0.569558054,,,39,48,0,,26,13,0,,,,,,,,
"Bulgaria",BGR,24,2011,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Czech Republic",CZE,25,2008,203,,,,,278510.1,0.475,0.54,0.719,0.657,0.177,0.258,,,52,26,0,,0,52,3,0.849680926,,,,,,,
"Czech Republic",CZE,25,2009,203,,,,,287944.6,0.383,0.525,0.7,0.644,0.168,0.248,,,52,21.66,0,,0,52,3,0.812720918,,,,,,,
"Czech Republic",CZE,25,2010,203,,,,,294691.8,0.383,0.521,0.698,0.641,0.165,0.243,,,52,21.66,0,,0,52,3,0.839712726,,,,,,,
"Czech Republic",CZE,25,2011,203,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Estonia",EST,26,2008,233,,,,,141836,0.494,0.517,0.828,0.858,0.164,0.272,,,52,39,7,0.94,2,26,1,0.981643954,,,,,,,
"Estonia",EST,26,2009,233,,,,,134027,0.493,0.533,0.824,0.849,0.21,0.359,,,52,39,7,0.85,2,26,1,0.980857019,,,,,,,
"Estonia",EST,26,2010,233,,,,,133206,0.497,0.537,0.733,0.772,0.223,0.381,,,52,52,7,0.82,2,26,3,,,,,,,,
"Estonia",EST,26,2011,233,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hungary",HUN,27,2008,348,,,,,1735572.1,0.509,0.612,0.915,0.933,0.268,0.357,,,52,39,0,0.66,0,52,0,0.826403079,,,,,,,
"Hungary",HUN,27,2009,348,,,,,1809246.9,0.506,0.605,0.913,0.931,0.257,0.346,,,52,39,0,,0,52,0,0.812116309,,,,,,,
"Hungary",HUN,27,2010,348,,,,,1816587.4,0.508,0.605,0.786,0.828,0.251,0.339,,,52,39,0,,0,52,0,0.815992011,,,,,,,
"Hungary",HUN,27,2011,348,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Latvia",LVA,28,2008,428,,,,,5062,0.72,0.65,0.88,0.9,0.15,0.24,,,1040,39,0,0.98,0,52,1,0.980411523,,,,,,,
"Latvia",LVA,28,2009,428,,,,,5050,0.73,0.65,0.87,0.89,0.15,0.25,,,1040,39,0,0.92,0,52,1,0.924477411,,,,,,,
"Latvia",LVA,28,2010,428,,,,,4974,0.76,0.66,0.87,0.89,0.16,0.25,,,1040,39,0,,0,52,1,,,,,,,,
"Latvia",LVA,28,2011,428,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lithuania",LTU,29,2008,440,,,,,23207.8,0.558,0.68,0.465,0.896,0.191,0.354,,,78,26,7,0.91,13,17.3,0,0.906443618,,,,,,,
"Lithuania",LTU,29,2009,440,,,,,21628.8,0.621,0.735,0.505,0.959,0.23,0.416,,,78,26,7,0.8,13,17.3,0,0.797732951,,,,,,,
"Lithuania",LTU,29,2010,440,,,,,21128.1,0.471,0.456,0.505,0.956,0.235,0.455,,,78,26,7,,13,17.3,0,,,,,,,,
"Lithuania",LTU,29,2011,440,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Poland",POL,30,2008,616,,,,,33192.8,0.246,0.284,0.963,0.927,0.224,0.323,,,52,52,7,0.88,4,26,0,0.878080666,,,,,,,
"Poland",POL,30,2009,616,,,,,34829.2,0.239,0.276,0.878,0.987,0.212,0.308,,,52,52,7,0.9,4,26,0,0.897326389,,,,,,,
"Poland",POL,30,2010,616,,,,,37086,0.257,0.315,0.92,0.871,0.2,0.289,,,52,52,7,,4,26,0,,,,,,,,
"Poland",POL,30,2011,616,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Romania",ROU,31,2008,642,,,,,15670.76273,0.591,0.701,1.036,1.137,0.117,0.207,,,52,52,0,,4.33,25.7,0,,,,,,,,
"Romania",ROU,31,2009,642,,,,,16531.99939,0.66,0.765,1.08,1.156,0.121,0.205,,,52,52,0,,4.33,25.7,0,,,,,,,,
"Romania",ROU,31,2010,642,,,,,18310.64032,0.614,0.716,0.991,1.072,0.127,0.216,,,52,52,0,,4.33,25.7,0,,,,,,,,
"Romania",ROU,31,2011,642,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Slovakia",SVK,32,2008,703,,,,,250647,0.61,0.509,0.665,0.618,0.209,0.352,,,156,26,0,0.74,0,52,0,0.842459869,,,,,,,
"Slovakia",SVK,32,2009,703,,,,,8530,0.632,0.509,0.689,0.616,0.216,0.396,,,156,26,0,0.66,0,52,0,0.763365056,,,,,,,
"Slovakia",SVK,32,2010,703,,,,,8629,0.633,0.548,0.69,0.615,0.217,0.327,,,156,26,0,0.65,0,52,0,0.756867541,,,,,,,
"Slovakia",SVK,32,2011,703,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Slovenia",SVN,33,2008,705,,,,,14350.4,0.666,0.737,0.916,0.878,0.196,0.288,,,780,39,0,0.87,0,,,1,,,,,,,
"Slovenia",SVN,33,2009,705,,,,,14632.9,0.671,0.74,0.913,0.872,0.208,0.305,,,780,39,0,,0,,,1,,,,,,,
"Slovenia",SVN,33,2010,705,,,,,15062.8,0.698,0.734,0.904,0.889,0.213,0.313,,,780,39,0,,0,,,1,,,,,,,
"Slovenia",SVN,33,2011,705,,,,,,,,,,,,,,,,,,,,,,,,,,,,
